"lab_name","test_performed","test_type","tests_positive","tests_negative","gmp_indication"
"UAB Medicina practica laboratorija","2020-06-26T00:00:00Z","1477",0,315,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-06-26T00:00:00Z","1477",1,315,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-06-26T00:00:00Z","1477",0,68,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-06-26T00:00:00Z","1477",0,370,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-06-26T00:00:00Z","1477",0,9,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-06-26T00:00:00Z","1477",12,901,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-06-27T00:00:00Z","1477",0,636,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-06-27T00:00:00Z","1477",0,364,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-06-27T00:00:00Z","1477",2,217,"profilaktika"
"Nacionalinis vėžio institutas","2020-06-27T00:00:00Z","1477",0,29,"profilaktika"
"UAB ""Baltic Medics""","2020-06-27T00:00:00Z","1477",0,27,"profilaktika"
"UAB ""Invitro diagnostika""","2020-06-27T00:00:00Z","1477",0,276,"profilaktika"
"UAB Diagnostikos laboratorija","2020-06-27T00:00:00Z","1477",0,5,"profilaktika"
"UAB Medicina practica laboratorija","2020-06-27T00:00:00Z","1477",0,89,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-06-27T00:00:00Z","1477",0,262,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-06-27T00:00:00Z","1477",0,43,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-06-27T00:00:00Z","1477",0,205,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-06-27T00:00:00Z","1477",0,12,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-06-27T00:00:00Z","1477",1,325,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-06-28T00:00:00Z","1477",0,482,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-06-28T00:00:00Z","1477",0,223,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-06-28T00:00:00Z","1477",1,188,"profilaktika"
"UAB Medicina practica laboratorija","2020-06-28T00:00:00Z","1477",0,50,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-06-28T00:00:00Z","1477",1,251,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-06-28T00:00:00Z","1477",0,44,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-06-28T00:00:00Z","1477",0,164,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-06-28T00:00:00Z","1477",0,12,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-06-28T00:00:00Z","1477",1,233,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-06-29T00:00:00Z","1477",0,628,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-06-29T00:00:00Z","1477",0,123,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-06-29T00:00:00Z","1477",3,384,"profilaktika"
"Nacionalinis vėžio institutas","2020-06-29T00:00:00Z","1477",0,93,"profilaktika"
"UAB ""Baltic Medics""","2020-06-29T00:00:00Z","1477",0,42,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-06-29T00:00:00Z","1477",0,196,"profilaktika"
"UAB Diagnostikos laboratorija","2020-06-29T00:00:00Z","1477",0,279,"profilaktika"
"UAB Medicina practica laboratorija","2020-06-29T00:00:00Z","1477",0,90,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-06-29T00:00:00Z","1477",1,467,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-06-29T00:00:00Z","1477",0,85,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-06-29T00:00:00Z","1477",0,358,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-06-29T00:00:00Z","1477",0,21,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-06-29T00:00:00Z","1477",5,966,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-06-30T00:00:00Z","1477",0,887,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-06-30T00:00:00Z","1477",5,376,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-06-30T00:00:00Z","1477",0,362,"profilaktika"
"Nacionalinis vėžio institutas","2020-06-30T00:00:00Z","1477",0,144,"profilaktika"
"UAB ""Baltic Medics""","2020-06-30T00:00:00Z","1477",0,82,"profilaktika"
"UAB ""Invitro diagnostika""","2020-06-30T00:00:00Z","1477",1,183,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-06-30T00:00:00Z","1477",0,47,"profilaktika"
"UAB Diagnostikos laboratorija","2020-06-30T00:00:00Z","1477",0,567,"profilaktika"
"UAB Medicina practica laboratorija","2020-06-30T00:00:00Z","1477",0,225,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-06-30T00:00:00Z","1477",1,474,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-06-30T00:00:00Z","1477",0,78,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-06-30T00:00:00Z","1477",0,351,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-06-30T00:00:00Z","1477",0,15,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-06-30T00:00:00Z","1477",3,1299,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-01T00:00:00Z","1477",1,720,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-01T00:00:00Z","1477",0,483,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-01T00:00:00Z","1477",2,369,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-01T00:00:00Z","1477",0,97,"profilaktika"
"UAB ""Baltic Medics""","2020-07-01T00:00:00Z","1477",0,75,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-01T00:00:00Z","1477",0,132,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-01T00:00:00Z","1477",0,142,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-01T00:00:00Z","1477",0,619,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-01T00:00:00Z","1477",0,250,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-01T00:00:00Z","1477",1,349,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-01T00:00:00Z","1477",0,37,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-01T00:00:00Z","1477",0,385,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-01T00:00:00Z","1477",0,11,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-01T00:00:00Z","1477",5,765,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-02T00:00:00Z","1477",1,683,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-02T00:00:00Z","1477",2,397,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-02T00:00:00Z","1477",1,370,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-02T00:00:00Z","1477",0,78,"profilaktika"
"UAB ""Baltic Medics""","2020-07-02T00:00:00Z","1477",0,70,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-02T00:00:00Z","1477",0,90,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-02T00:00:00Z","1477",0,183,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-02T00:00:00Z","1477",0,265,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-02T00:00:00Z","1477",0,312,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-02T00:00:00Z","1477",0,373,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-02T00:00:00Z","1477",0,33,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-02T00:00:00Z","1477",1,462,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-02T00:00:00Z","1477",0,5,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-02T00:00:00Z","1477",9,696,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-03T00:00:00Z","1477",0,717,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-03T00:00:00Z","1477",0,485,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-03T00:00:00Z","1477",5,278,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-03T00:00:00Z","1477",0,50,"profilaktika"
"UAB ""Baltic Medics""","2020-07-03T00:00:00Z","1477",0,48,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-03T00:00:00Z","1477",4,303,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-03T00:00:00Z","1477",0,80,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-03T00:00:00Z","1477",0,381,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-03T00:00:00Z","1477",0,343,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-03T00:00:00Z","1477",1,312,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-03T00:00:00Z","1477",0,22,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-03T00:00:00Z","1477",0,201,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-03T00:00:00Z","1477",0,7,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-03T00:00:00Z","1477",1,558,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-04T00:00:00Z","1477",0,268,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-04T00:00:00Z","1477",1,275,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-04T00:00:00Z","1477",2,368,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-04T00:00:00Z","1477",0,19,"profilaktika"
"UAB ""Baltic Medics""","2020-07-04T00:00:00Z","1477",0,64,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-04T00:00:00Z","1477",1,424,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-04T00:00:00Z","1477",0,10,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-04T00:00:00Z","1477",0,101,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-04T00:00:00Z","1477",0,21,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-04T00:00:00Z","1477",0,112,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-04T00:00:00Z","1477",0,3,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-04T00:00:00Z","1477",1,214,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-05T00:00:00Z","1477",0,141,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-05T00:00:00Z","1477",0,1,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-05T00:00:00Z","1477",11,272,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-05T00:00:00Z","1477",0,40,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-05T00:00:00Z","1477",0,34,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-05T00:00:00Z","1477",1,113,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-05T00:00:00Z","1477",0,26,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-05T00:00:00Z","1477",0,151,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-05T00:00:00Z","1477",0,5,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-05T00:00:00Z","1477",2,134,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-06T00:00:00Z","1477",0,305,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-06T00:00:00Z","1477",0,80,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-06T00:00:00Z","1477",5,4,"profilaktika"
"UAB ""Baltic Medics""","2020-07-06T00:00:00Z","1477",0,31,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-06T00:00:00Z","1477",0,7,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-06T00:00:00Z","1477",0,133,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-06T00:00:00Z","1477",0,27,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-06T00:00:00Z","1477",0,137,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-06T00:00:00Z","1477",0,5,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-06T00:00:00Z","1477",6,353,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-07T00:00:00Z","1477",0,261,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-07T00:00:00Z","1477",0,111,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-07T00:00:00Z","1477",2,183,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-07T00:00:00Z","1477",0,125,"profilaktika"
"UAB ""Baltic Medics""","2020-07-07T00:00:00Z","1477",0,39,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-07T00:00:00Z","1477",0,55,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-07T00:00:00Z","1477",0,98,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-07T00:00:00Z","1477",0,81,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-07T00:00:00Z","1477",1,308,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-07T00:00:00Z","1477",0,19,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-07T00:00:00Z","1477",0,172,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-07T00:00:00Z","1477",0,4,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-07T00:00:00Z","1477",5,735,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-08T00:00:00Z","1477",1,662,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-08T00:00:00Z","1477",1,332,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-08T00:00:00Z","1477",2,266,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-08T00:00:00Z","1477",0,57,"profilaktika"
"UAB ""Baltic Medics""","2020-07-08T00:00:00Z","1477",0,75,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-08T00:00:00Z","1477",1,53,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-08T00:00:00Z","1477",1,83,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-08T00:00:00Z","1477",0,286,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-08T00:00:00Z","1477",0,311,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-08T00:00:00Z","1477",1,482,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-08T00:00:00Z","1477",0,18,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-08T00:00:00Z","1477",0,410,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-08T00:00:00Z","1477",0,6,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-08T00:00:00Z","1477",7,900,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-09T00:00:00Z","1477",3,609,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-09T00:00:00Z","1477",1,503,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-09T00:00:00Z","1477",2,191,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-09T00:00:00Z","1477",0,46,"profilaktika"
"UAB ""Baltic Medics""","2020-07-09T00:00:00Z","1477",0,39,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-09T00:00:00Z","1477",1,74,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-09T00:00:00Z","1477",0,82,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-09T00:00:00Z","1477",0,325,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-09T00:00:00Z","1477",0,254,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-09T00:00:00Z","1477",0,341,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-09T00:00:00Z","1477",0,14,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-09T00:00:00Z","1477",0,290,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-09T00:00:00Z","1477",0,6,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-09T00:00:00Z","1477",3,660,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-10T00:00:00Z","1477",0,689,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-10T00:00:00Z","1477",1,402,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-10T00:00:00Z","1477",0,177,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-10T00:00:00Z","1477",0,35,"profilaktika"
"UAB ""Baltic Medics""","2020-07-10T00:00:00Z","1477",0,76,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-10T00:00:00Z","1477",1,167,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-10T00:00:00Z","1477",0,50,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-10T00:00:00Z","1477",0,406,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-10T00:00:00Z","1477",1,220,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-10T00:00:00Z","1477",0,287,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-10T00:00:00Z","1477",0,12,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-10T00:00:00Z","1477",0,216,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-10T00:00:00Z","1477",0,7,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-10T00:00:00Z","1477",2,919,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-11T00:00:00Z","1477",1,336,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-11T00:00:00Z","1477",0,268,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-11T00:00:00Z","1477",2,175,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-11T00:00:00Z","1477",0,31,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-11T00:00:00Z","1477",0,85,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-11T00:00:00Z","1477",0,246,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-11T00:00:00Z","1477",0,22,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-11T00:00:00Z","1477",0,110,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-11T00:00:00Z","1477",0,9,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-11T00:00:00Z","1477",0,60,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-11T00:00:00Z","1477",0,5,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-11T00:00:00Z","1477",3,314,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-12T00:00:00Z","1477",0,268,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-12T00:00:00Z","1477",1,145,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-12T00:00:00Z","1477",0,5,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-12T00:00:00Z","1477",0,121,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-12T00:00:00Z","1477",0,11,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-12T00:00:00Z","1477",0,85,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-12T00:00:00Z","1477",0,13,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-12T00:00:00Z","1477",5,253,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-13T00:00:00Z","1477",2,346,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-13T00:00:00Z","1477",0,85,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-13T00:00:00Z","1477",3,226,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-13T00:00:00Z","1477",0,85,"profilaktika"
"UAB ""Baltic Medics""","2020-07-13T00:00:00Z","1477",0,57,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-13T00:00:00Z","1477",0,42,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-13T00:00:00Z","1477",0,77,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-13T00:00:00Z","1477",0,41,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-13T00:00:00Z","1477",1,454,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-13T00:00:00Z","1477",0,23,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-13T00:00:00Z","1477",0,220,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-13T00:00:00Z","1477",0,6,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-13T00:00:00Z","1477",4,612,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-14T00:00:00Z","1477",16,539,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-14T00:00:00Z","1477",1,67,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-14T00:00:00Z","1477",1,276,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-14T00:00:00Z","1477",0,86,"profilaktika"
"UAB ""Baltic Medics""","2020-07-14T00:00:00Z","1477",0,68,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-14T00:00:00Z","1477",0,247,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-14T00:00:00Z","1477",0,58,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-14T00:00:00Z","1477",0,198,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-14T00:00:00Z","1477",0,105,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-14T00:00:00Z","1477",1,409,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-14T00:00:00Z","1477",0,16,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-14T00:00:00Z","1477",0,208,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-14T00:00:00Z","1477",0,10,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-07-14T00:00:00Z","1477",5,787,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-07-15T00:00:00Z","1477",4,655,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-07-15T00:00:00Z","1477",0,215,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-07-15T00:00:00Z","1477",0,201,"profilaktika"
"Nacionalinis vėžio institutas","2020-07-15T00:00:00Z","1477",0,73,"profilaktika"
"UAB ""Baltic Medics""","2020-07-15T00:00:00Z","1477",0,45,"profilaktika"
"UAB ""Invitro diagnostika""","2020-07-15T00:00:00Z","1477",1,151,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-07-15T00:00:00Z","1477",1,41,"profilaktika"
"UAB Diagnostikos laboratorija","2020-07-15T00:00:00Z","1477",0,265,"profilaktika"
"UAB Medicina practica laboratorija","2020-07-15T00:00:00Z","1477",0,338,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-07-15T00:00:00Z","1477",1,347,"profilaktika"
"Viešoji įstaiga Respublikinė Panevėžio ligoninė","2020-07-15T00:00:00Z","1477",0,18,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-07-15T00:00:00Z","1477",0,164,"profilaktika"
"Viešoji įstaiga Respublikinė Vilniaus universitetinė ligoninė","2020-07-15T00:00:00Z","1477",0,16,"profilaktika"
